Timestamp,Source IP,Destination IP,Protocol,Length
1541233108.043174,172.217.197.154,192.168.50.9,6,66
1541233108.043175,172.217.197.154,192.168.50.9,6,66
1541233108.043243,192.168.50.9,172.217.197.154,6,66
1541233108.043245,192.168.50.9,172.217.197.154,6,66
1541233113.202993,192.168.50.8,192.168.10.50,6,66
1541233113.202996,192.168.50.8,192.168.10.50,6,66
1541233114.989670,192.168.50.9,23.194.108.29,6,112
1541233114.989673,192.168.50.9,23.194.108.29,6,112
1541233114.989779,192.168.50.9,23.194.108.29,6,97
1541233114.989780,192.168.50.9,23.194.108.29,6,66
1541233114.989781,192.168.50.9,23.194.108.29,6,97
1541233114.989783,192.168.50.9,23.194.108.29,6,66
1541233115.012130,23.194.108.29,192.168.50.9,6,66
1541233115.012132,23.194.108.29,192.168.50.9,6,66
1541233115.013059,23.194.108.29,192.168.50.9,6,97
1541233115.013061,23.194.108.29,192.168.50.9,6,97
1541233115.013062,23.194.108.29,192.168.50.9,6,66
1541233115.013064,23.194.108.29,192.168.50.9,6,66
1541233115.013122,192.168.50.9,23.194.108.29,6,60
1541233115.013124,192.168.50.9,23.194.108.29,6,60
1541233115.013125,192.168.50.9,23.194.108.29,6,60
1541233115.013125,192.168.50.9,23.194.108.29,6,60
1541233115.989729,192.168.50.9,52.28.108.167,6,112
1541233115.989732,192.168.50.9,52.28.108.167,6,112
1541233115.989734,192.168.50.9,52.28.108.167,6,112
1541233115.989735,192.168.50.9,52.28.108.167,6,112
1541233115.989859,192.168.50.9,52.28.108.167,6,97
1541233115.989860,192.168.50.9,52.28.108.167,6,66
1541233115.989862,192.168.50.9,52.28.108.167,6,97
1541233115.989863,192.168.50.9,52.28.108.167,6,66
1541233115.989924,192.168.50.9,52.28.108.167,6,97
1541233115.989925,192.168.50.9,52.28.108.167,6,66
1541233115.989927,192.168.50.9,52.28.108.167,6,97
1541233115.989928,192.168.50.9,52.28.108.167,6,66
1541233116.089795,52.28.108.167,192.168.50.9,6,66
1541233116.089797,52.28.108.167,192.168.50.9,6,66
1541233116.089799,52.28.108.167,192.168.50.9,6,66
1541233116.089800,52.28.108.167,192.168.50.9,6,66
1541233116.089896,192.168.50.9,52.28.108.167,6,66
1541233116.089899,192.168.50.9,52.28.108.167,6,66
1541233116.090450,52.28.108.167,192.168.50.9,6,66
1541233116.090453,52.28.108.167,192.168.50.9,6,66
1541233116.090454,52.28.108.167,192.168.50.9,6,66
1541233116.090455,52.28.108.167,192.168.50.9,6,66
1541233116.090543,192.168.50.9,52.28.108.167,6,66
1541233116.090546,192.168.50.9,52.28.108.167,6,66
1541233116.210339,192.168.50.8,192.168.10.50,6,66
1541233116.210343,192.168.50.8,192.168.10.50,6,66
1541233117.586433,0.0.0.0,255.255.255.255,17,342
1541233122.232024,192.168.50.8,192.168.10.50,6,62
1541233122.232027,192.168.50.8,192.168.10.50,6,62
1541233127.629304,0.0.0.0,255.255.255.255,17,342
1541233135.036663,192.168.50.6,172.217.12.206,6,60
1541233135.036664,192.168.50.6,172.217.12.206,6,60
1541233135.045152,192.168.50.6,54.213.45.184,6,60
1541233135.045153,192.168.50.6,54.213.45.184,6,60
1541233135.045206,192.168.50.6,172.217.10.98,6,60
1541233135.045207,192.168.50.6,172.217.10.98,6,60
1541233135.045283,192.168.50.6,172.217.7.2,6,60
1541233135.045284,192.168.50.6,172.217.7.2,6,60
1541233135.046048,192.168.50.6,172.217.10.98,6,60
1541233135.046049,192.168.50.6,172.217.10.98,6,60
1541233135.046050,192.168.50.6,172.217.7.2,6,60
1541233135.046050,192.168.50.6,172.217.7.2,6,60
1541233135.046097,192.168.50.6,172.217.10.65,6,60
1541233135.046099,192.168.50.6,172.217.10.65,6,60
1541233136.196595,34.209.30.112,192.168.50.8,6,85
1541233136.196599,34.209.30.112,192.168.50.8,6,85
1541233136.197026,192.168.50.8,34.209.30.112,6,89
1541233136.197028,192.168.50.8,34.209.30.112,6,89
1541233136.332388,34.209.30.112,192.168.50.8,6,60
1541233136.332393,34.209.30.112,192.168.50.8,6,60
1541233158.990625,192.168.50.6,192.168.10.50,6,66
1541233158.990628,192.168.50.6,192.168.10.50,6,66
1541233162.005184,192.168.50.6,192.168.10.50,6,66
1541233162.005187,192.168.50.6,192.168.10.50,6,66
1541233168.005570,192.168.50.6,192.168.10.50,6,62
1541233168.005573,192.168.50.6,192.168.10.50,6,62
1541233188.466875,192.168.50.6,4.2.2.4,17,76
1541233188.466878,192.168.50.6,4.2.2.4,17,76
1541233188.487918,4.2.2.4,192.168.50.6,17,92
1541233188.487921,4.2.2.4,192.168.50.6,17,92
1541233206.641796,192.168.50.9,192.168.10.50,6,74
1541233206.641799,192.168.50.9,192.168.10.50,6,74
1541233207.670312,192.168.50.9,192.168.10.50,6,74
1541233207.670314,192.168.50.9,192.168.10.50,6,74
1541233209.682312,192.168.50.9,192.168.10.50,6,74
1541233209.682315,192.168.50.9,192.168.10.50,6,74
1541233213.810335,192.168.50.9,192.168.10.50,6,74
1541233213.810338,192.168.50.9,192.168.10.50,6,74
1541233222.002302,192.168.50.9,192.168.10.50,6,74
1541233222.002305,192.168.50.9,192.168.10.50,6,74
1541233230.250579,192.168.50.8,4.2.2.4,17,74
1541233230.250582,192.168.50.8,4.2.2.4,17,74
1541233230.271646,4.2.2.4,192.168.50.8,17,144
1541233230.271649,4.2.2.4,192.168.50.8,17,144
1541233230.272464,192.168.50.8,173.194.208.109,6,66
1541233230.272467,192.168.50.8,173.194.208.109,6,66
1541233230.325334,173.194.208.109,192.168.50.8,6,66
1541233230.325338,173.194.208.109,192.168.50.8,6,66
1541233230.325497,192.168.50.8,173.194.208.109,6,60
1541233230.325498,192.168.50.8,173.194.208.109,6,60
1541233230.326161,192.168.50.8,173.194.208.109,6,221
1541233230.326164,192.168.50.8,173.194.208.109,6,221
1541233230.379025,173.194.208.109,192.168.50.8,6,60
1541233230.379028,173.194.208.109,192.168.50.8,6,60
1541233230.382048,173.194.208.109,192.168.50.8,6,1484
1541233230.382052,173.194.208.109,192.168.50.8,6,2787
1541233230.382054,173.194.208.109,192.168.50.8,6,1357
1541233230.382197,192.168.50.8,173.194.208.109,6,60
1541233230.382199,192.168.50.8,173.194.208.109,6,60
1541233230.386494,192.168.50.8,173.194.208.109,6,129
1541233230.386497,192.168.50.8,173.194.208.109,6,129
1541233230.479195,173.194.208.109,192.168.50.8,6,60
1541233230.479198,173.194.208.109,192.168.50.8,6,60
1541233230.479387,192.168.50.8,173.194.208.109,6,113
1541233230.479390,192.168.50.8,173.194.208.109,6,113
1541233230.532446,173.194.208.109,192.168.50.8,6,60
1541233230.532449,173.194.208.109,192.168.50.8,6,60
1541233230.532450,173.194.208.109,192.168.50.8,6,113
1541233230.532451,173.194.208.109,192.168.50.8,6,113
1541233230.534568,173.194.208.109,192.168.50.8,6,139
1541233230.534570,173.194.208.109,192.168.50.8,6,139
1541233230.534733,192.168.50.8,173.194.208.109,6,60
1541233230.534736,192.168.50.8,173.194.208.109,6,60
1541233230.535881,192.168.50.8,173.194.208.109,6,107
1541233230.535883,192.168.50.8,173.194.208.109,6,107
1541233230.594236,173.194.208.109,192.168.50.8,6,315
1541233230.594239,173.194.208.109,192.168.50.8,6,315
1541233230.594553,192.168.50.8,173.194.208.109,6,128
1541233230.594556,192.168.50.8,173.194.208.109,6,128
1541233230.647894,173.194.208.109,192.168.50.8,6,107
1541233230.647896,173.194.208.109,192.168.50.8,6,107
1541233230.648204,192.168.50.8,173.194.208.109,6,160
1541233230.648206,192.168.50.8,173.194.208.109,6,160
1541233230.701674,173.194.208.109,192.168.50.8,6,107
1541233230.701676,173.194.208.109,192.168.50.8,6,107
1541233230.701961,192.168.50.8,173.194.208.109,6,144
1541233230.701963,192.168.50.8,173.194.208.109,6,144
1541233230.794857,173.194.208.109,192.168.50.8,6,60
1541233230.794860,173.194.208.109,192.168.50.8,6,60
1541233231.067412,173.194.208.109,192.168.50.8,6,107
1541233231.067415,173.194.208.109,192.168.50.8,6,107
1541233231.067792,192.168.50.8,173.194.208.109,6,160
1541233231.067794,192.168.50.8,173.194.208.109,6,160
1541233231.120673,173.194.208.109,192.168.50.8,6,60
1541233231.120676,173.194.208.109,192.168.50.8,6,60
1541233231.121534,173.194.208.109,192.168.50.8,6,123
1541233231.121536,173.194.208.109,192.168.50.8,6,123
1541233231.121765,192.168.50.8,173.194.208.109,6,160
1541233231.121767,192.168.50.8,173.194.208.109,6,160
1541233231.175666,173.194.208.109,192.168.50.8,6,123
1541233231.175669,173.194.208.109,192.168.50.8,6,123
1541233231.175962,192.168.50.8,173.194.208.109,6,128
1541233231.175965,192.168.50.8,173.194.208.109,6,128
1541233231.269058,173.194.208.109,192.168.50.8,6,60
1541233231.269061,173.194.208.109,192.168.50.8,6,60
1541233231.298555,173.194.208.109,192.168.50.8,6,123
1541233231.298558,173.194.208.109,192.168.50.8,6,123
1541233231.299180,192.168.50.8,173.194.208.109,6,416
1541233231.299184,192.168.50.8,173.194.208.109,6,416
1541233231.352061,173.194.208.109,192.168.50.8,6,60
1541233231.352063,173.194.208.109,192.168.50.8,6,60
1541233231.860609,173.194.208.109,192.168.50.8,6,139
1541233231.860612,173.194.208.109,192.168.50.8,6,139
1541233231.860883,192.168.50.8,173.194.208.109,6,128
1541233231.860884,192.168.50.8,173.194.208.109,6,128
1541233231.913936,173.194.208.109,192.168.50.8,6,60
1541233231.913939,173.194.208.109,192.168.50.8,6,60
1541233231.915562,173.194.208.109,192.168.50.8,6,139
1541233231.915565,173.194.208.109,192.168.50.8,6,139
1541233231.915566,173.194.208.109,192.168.50.8,6,60
1541233231.915567,173.194.208.109,192.168.50.8,6,60
1541233231.915710,192.168.50.8,173.194.208.109,6,60
1541233231.915712,192.168.50.8,173.194.208.109,6,60
1541233231.915781,192.168.50.8,173.194.208.109,6,91
1541233231.915783,192.168.50.8,173.194.208.109,6,91
1541233231.915784,192.168.50.8,173.194.208.109,6,60
1541233231.915785,192.168.50.8,173.194.208.109,6,60
1541233231.968593,173.194.208.109,192.168.50.8,6,60
1541233231.968596,173.194.208.109,192.168.50.8,6,60
1541233238.134258,192.168.50.9,192.168.10.50,6,74
1541233238.134261,192.168.50.9,192.168.10.50,6,74
1541233240.238286,192.168.50.8,74.208.236.171,6,66
1541233240.238289,192.168.50.8,74.208.236.171,6,66
1541233240.245046,192.168.50.8,74.208.236.171,6,66
1541233240.245048,192.168.50.8,74.208.236.171,6,66
1541233240.245121,192.168.50.8,4.2.2.4,17,89
1541233240.245122,192.168.50.8,4.2.2.4,17,79
1541233240.245123,192.168.50.8,4.2.2.4,17,89
1541233240.245124,192.168.50.8,4.2.2.4,17,79
1541233240.245352,192.168.50.8,4.2.2.4,17,80
1541233240.245353,192.168.50.8,4.2.2.4,17,80
1541233240.262069,192.168.50.8,4.2.2.4,17,87
1541233240.262072,192.168.50.8,4.2.2.4,17,87
1541233240.266392,4.2.2.4,192.168.50.8,17,145
1541233240.266394,4.2.2.4,192.168.50.8,17,145
1541233240.266396,4.2.2.4,192.168.50.8,17,135
1541233240.266397,4.2.2.4,192.168.50.8,17,135
1541233240.266445,4.2.2.4,192.168.50.8,17,136
1541233240.266446,4.2.2.4,192.168.50.8,17,136
1541233240.266937,192.168.50.8,172.217.9.226,6,66
1541233240.266938,192.168.50.8,172.217.9.226,6,66
1541233240.267012,192.168.50.8,172.217.9.226,6,66
1541233240.267013,192.168.50.8,172.217.9.226,6,66
1541233240.267090,192.168.50.8,172.217.9.226,6,66
1541233240.267091,192.168.50.8,172.217.9.226,6,66
1541233240.267184,192.168.50.8,172.217.9.226,6,66
1541233240.267185,192.168.50.8,172.217.9.226,6,66
1541233240.267341,192.168.50.8,4.2.2.4,17,86
1541233240.267342,192.168.50.8,4.2.2.4,17,86
1541233240.267343,192.168.50.8,4.2.2.4,17,86
1541233240.267344,192.168.50.8,4.2.2.4,17,86
1541233240.267438,192.168.50.8,4.2.2.4,17,86
1541233240.267440,192.168.50.8,4.2.2.4,17,86
1541233240.283286,4.2.2.4,192.168.50.8,17,103
1541233240.283288,4.2.2.4,192.168.50.8,17,103
1541233240.284092,192.168.50.8,172.217.3.106,6,66
1541233240.284094,192.168.50.8,172.217.3.106,6,66
1541233240.288596,4.2.2.4,192.168.50.8,17,102
1541233240.288600,4.2.2.4,192.168.50.8,17,102
1541233240.288602,4.2.2.4,192.168.50.8,17,102
1541233240.288603,4.2.2.4,192.168.50.8,17,102
1541233240.288604,4.2.2.4,192.168.50.8,17,102
1541233240.288606,4.2.2.4,192.168.50.8,17,102
1541233240.293450,74.208.236.171,192.168.50.8,6,66
1541233240.293452,74.208.236.171,192.168.50.8,6,66
1541233240.293679,192.168.50.8,74.208.236.171,6,60
1541233240.293680,192.168.50.8,74.208.236.171,6,60
1541233240.293821,192.168.50.8,74.208.236.171,6,468
1541233240.293823,192.168.50.8,74.208.236.171,6,468
1541233240.299852,74.208.236.171,192.168.50.8,6,66
1541233240.299855,74.208.236.171,192.168.50.8,6,66
1541233240.300034,192.168.50.8,74.208.236.171,6,60
1541233240.300035,192.168.50.8,74.208.236.171,6,60
1541233240.307077,172.217.9.226,192.168.50.8,6,66
1541233240.307080,172.217.9.226,192.168.50.8,6,66
1541233240.307170,192.168.50.8,172.217.9.226,6,60
1541233240.307171,192.168.50.8,172.217.9.226,6,60
1541233240.307355,172.217.9.226,192.168.50.8,6,66
1541233240.307357,172.217.9.226,192.168.50.8,6,66
1541233240.307358,172.217.9.226,192.168.50.8,6,66
1541233240.307360,172.217.9.226,192.168.50.8,6,66
1541233240.307420,192.168.50.8,172.217.9.226,6,60
1541233240.307421,192.168.50.8,172.217.9.226,6,60
1541233240.307422,192.168.50.8,172.217.9.226,6,60
1541233240.307423,192.168.50.8,172.217.9.226,6,60
1541233240.308083,172.217.9.226,192.168.50.8,6,66
1541233240.308084,172.217.9.226,192.168.50.8,6,66
1541233240.308154,192.168.50.8,172.217.9.226,6,60
1541233240.308155,192.168.50.8,172.217.9.226,6,60
1541233240.308156,192.168.50.8,172.217.9.226,6,571
1541233240.308158,192.168.50.8,172.217.9.226,6,571
1541233240.309253,192.168.50.8,172.217.9.226,6,571
1541233240.309254,192.168.50.8,172.217.9.226,6,571
1541233240.310406,192.168.50.8,172.217.9.226,6,571
1541233240.310408,192.168.50.8,172.217.9.226,6,571
1541233240.324262,172.217.3.106,192.168.50.8,6,66
1541233240.324264,172.217.3.106,192.168.50.8,6,66
1541233240.324443,192.168.50.8,172.217.3.106,6,60
1541233240.324446,192.168.50.8,172.217.3.106,6,60
1541233240.325656,192.168.50.8,172.217.3.106,6,571
1541233240.325661,192.168.50.8,172.217.3.106,6,571
1541233240.348355,172.217.9.226,192.168.50.8,6,60
1541233240.348357,172.217.9.226,192.168.50.8,6,60
1541233240.348774,74.208.236.171,192.168.50.8,6,60
1541233240.348776,74.208.236.171,192.168.50.8,6,60
1541233240.349657,172.217.9.226,192.168.50.8,6,60
1541233240.349660,172.217.9.226,192.168.50.8,6,60
1541233240.351587,172.217.9.226,192.168.50.8,6,60
1541233240.351589,172.217.9.226,192.168.50.8,6,60
1541233240.363287,172.217.9.226,192.168.50.8,6,1484
1541233240.363293,172.217.9.226,192.168.50.8,6,1484
1541233240.363568,172.217.9.226,192.168.50.8,6,1484
1541233240.363573,172.217.9.226,192.168.50.8,6,1484
1541233240.363668,192.168.50.8,172.217.9.226,6,60
1541233240.363671,192.168.50.8,172.217.9.226,6,60
1541233240.364239,172.217.9.226,192.168.50.8,6,1484
1541233240.364243,172.217.9.226,192.168.50.8,6,1484
1541233240.364477,172.217.9.226,192.168.50.8,6,1150
1541233240.364480,172.217.9.226,192.168.50.8,6,1150
1541233240.364558,192.168.50.8,172.217.9.226,6,60
1541233240.364560,192.168.50.8,172.217.9.226,6,60
1541233240.365942,172.217.9.226,192.168.50.8,6,532
1541233240.365945,172.217.9.226,192.168.50.8,6,532
1541233240.366280,172.217.9.226,192.168.50.8,6,1484
1541233240.366284,172.217.9.226,192.168.50.8,6,1484
1541233240.366529,172.217.3.106,192.168.50.8,6,60
1541233240.366532,172.217.9.226,192.168.50.8,6,1484
1541233240.366533,172.217.3.106,192.168.50.8,6,60
1541233240.366538,172.217.9.226,192.168.50.8,6,1484
1541233240.366617,192.168.50.8,172.217.9.226,6,60
1541233240.366620,192.168.50.8,172.217.9.226,6,60
1541233240.366621,192.168.50.8,172.217.9.226,6,147
1541233240.366622,192.168.50.8,172.217.9.226,6,147
1541233240.368517,192.168.50.8,172.217.9.226,6,147
1541233240.368519,192.168.50.8,172.217.9.226,6,147
1541233240.368720,192.168.50.8,172.217.9.226,6,231
1541233240.368722,172.217.9.226,192.168.50.8,6,533
1541233240.368724,192.168.50.8,172.217.9.226,6,231
1541233240.368725,172.217.9.226,192.168.50.8,6,533
1541233240.368811,192.168.50.8,172.217.9.226,6,231
1541233240.368814,192.168.50.8,172.217.9.226,6,231
1541233240.370685,192.168.50.8,172.217.9.226,6,147
1541233240.370688,192.168.50.8,172.217.9.226,6,147
1541233240.370784,192.168.50.8,172.217.9.226,6,231
1541233240.370787,192.168.50.8,172.217.9.226,6,231
1541233240.379816,172.217.3.106,192.168.50.8,6,1484
1541233240.379820,172.217.3.106,192.168.50.8,6,1484
1541233240.380023,172.217.3.106,192.168.50.8,6,1032
1541233240.380025,172.217.3.106,192.168.50.8,6,1032
1541233240.380176,192.168.50.8,172.217.3.106,6,60
1541233240.380178,192.168.50.8,172.217.3.106,6,60
1541233240.382034,192.168.50.8,172.217.3.106,6,147
1541233240.382035,192.168.50.8,172.217.3.106,6,147
1541233240.382314,192.168.50.8,172.217.3.106,6,231
1541233240.382316,192.168.50.8,172.217.3.106,6,231
1541233240.382318,192.168.50.8,172.217.3.106,6,531
1541233240.382319,192.168.50.8,172.217.3.106,6,531
1541233240.408514,172.217.9.226,192.168.50.8,6,338
1541233240.408517,172.217.9.226,192.168.50.8,6,338
1541233240.408787,172.217.9.226,192.168.50.8,6,123
1541233240.408789,172.217.9.226,192.168.50.8,6,123
1541233240.408925,192.168.50.8,172.217.9.226,6,60
1541233240.408928,192.168.50.8,172.217.9.226,6,60
1541233240.408929,192.168.50.8,172.217.9.226,6,92
1541233240.408930,192.168.50.8,172.217.9.226,6,92
1541233240.409107,172.217.9.226,192.168.50.8,6,338
1541233240.409111,172.217.9.226,192.168.50.8,6,92
1541233240.409112,172.217.9.226,192.168.50.8,6,338
1541233240.409113,172.217.9.226,192.168.50.8,6,92
1541233240.409356,172.217.9.226,192.168.50.8,6,123
1541233240.409358,172.217.9.226,192.168.50.8,6,123
1541233240.409359,172.217.9.226,192.168.50.8,6,92
1541233240.409360,172.217.9.226,192.168.50.8,6,92
1541233240.409485,192.168.50.8,172.217.9.226,6,60
1541233240.409487,192.168.50.8,172.217.9.226,6,60
1541233240.409488,192.168.50.8,172.217.9.226,6,92
1541233240.409489,192.168.50.8,172.217.9.226,6,92
1541233240.411938,172.217.9.226,192.168.50.8,6,338
1541233240.411941,172.217.9.226,192.168.50.8,6,338
1541233240.412337,172.217.9.226,192.168.50.8,6,123
1541233240.412339,172.217.9.226,192.168.50.8,6,123
1541233240.412340,172.217.9.226,192.168.50.8,6,92
1541233240.412341,172.217.9.226,192.168.50.8,6,92
1541233240.412484,192.168.50.8,172.217.9.226,6,60
1541233240.412486,192.168.50.8,172.217.9.226,6,60
1541233240.412487,192.168.50.8,172.217.9.226,6,92
1541233240.412488,192.168.50.8,172.217.9.226,6,92
1541233240.422494,172.217.3.106,192.168.50.8,6,60
1541233240.422497,172.217.3.106,192.168.50.8,6,60
1541233240.422772,172.217.3.106,192.168.50.8,6,338
1541233240.422775,172.217.3.106,192.168.50.8,6,338
1541233240.423049,172.217.3.106,192.168.50.8,6,123
1541233240.423051,172.217.3.106,192.168.50.8,6,123
1541233240.423052,172.217.3.106,192.168.50.8,6,92
1541233240.423053,172.217.3.106,192.168.50.8,6,92
1541233240.423184,192.168.50.8,172.217.3.106,6,60
1541233240.423187,192.168.50.8,172.217.3.106,6,60
1541233240.423188,192.168.50.8,172.217.3.106,6,92
1541233240.423189,192.168.50.8,172.217.3.106,6,92
1541233240.442343,172.217.3.106,192.168.50.8,6,285
1541233240.442346,172.217.3.106,192.168.50.8,6,285
1541233240.442800,172.217.3.106,192.168.50.8,6,344
1541233240.442803,172.217.3.106,192.168.50.8,6,344
1541233240.442946,192.168.50.8,172.217.3.106,6,60
1541233240.442948,192.168.50.8,172.217.3.106,6,60
1541233240.443133,172.217.3.106,192.168.50.8,6,275
1541233240.443136,172.217.3.106,192.168.50.8,6,275
1541233240.444096,172.217.3.106,192.168.50.8,6,100
1541233240.444099,172.217.3.106,192.168.50.8,6,100
1541233240.444241,192.168.50.8,172.217.3.106,6,60
1541233240.444243,192.168.50.8,172.217.3.106,6,60
1541233240.444244,192.168.50.8,172.217.3.106,6,100
1541233240.444245,192.168.50.8,172.217.3.106,6,100
1541233240.485293,172.217.3.106,192.168.50.8,6,60
1541233240.485296,172.217.3.106,192.168.50.8,6,60
1541233240.489436,192.168.50.8,4.2.2.4,17,89
1541233240.489438,192.168.50.8,4.2.2.4,17,89
1541233240.489522,172.217.9.226,192.168.50.8,6,60
1541233240.489525,172.217.9.226,192.168.50.8,6,60
1541233240.489765,172.217.9.226,192.168.50.8,6,60
1541233240.489767,172.217.9.226,192.168.50.8,6,60
1541233240.493553,172.217.9.226,192.168.50.8,6,60
1541233240.493555,172.217.9.226,192.168.50.8,6,60
1541233240.510703,4.2.2.4,192.168.50.8,17,149
1541233240.510706,4.2.2.4,192.168.50.8,17,149
1541233240.511327,192.168.50.8,52.85.90.206,6,66
1541233240.511329,192.168.50.8,52.85.90.206,6,66
1541233240.511426,192.168.50.8,52.85.90.206,6,66
1541233240.511428,192.168.50.8,52.85.90.206,6,66
1541233240.511484,192.168.50.8,4.2.2.4,17,93
1541233240.511487,192.168.50.8,4.2.2.4,17,93
1541233240.532571,4.2.2.4,192.168.50.8,17,109
1541233240.532574,4.2.2.4,192.168.50.8,17,109
1541233240.533003,192.168.50.8,4.2.2.4,17,93
1541233240.533006,192.168.50.8,4.2.2.4,17,93
1541233240.550731,52.85.90.206,192.168.50.8,6,66
1541233240.550744,52.85.90.206,192.168.50.8,6,66
1541233240.550745,52.85.90.206,192.168.50.8,6,66
